Date,Province,Total Cases,Total Deaths,Total Recovered,Island
3/30/2020,Kalimantan Barat,8,2,3,Kalimantan
3/30/2020,Kalimantan Selatan,5,0,0,Kalimantan
3/30/2020,Kalimantan Tengah,3,2,39,Kalimantan
3/30/2020,Kalimantan Timur,13,0,3,Kalimantan
3/30/2020,Kalimantan Utara,2,0,0,Kalimantan
3/30/2020,Kepulauan Bangka Belitung,1,0,0,Sumatera
3/30/2020,Kepulauan Riau,4,3,2,Sumatera
3/30/2020,Lampung,7,1,0,Sumatera
3/30/2020,Maluku,1,1,1,Maluku
3/30/2020,Maluku Utara,1,0,0,Maluku
3/30/2020,Papua,8,1,2,Papua
3/30/2020,Papua Barat,2,1,1,Papua
3/30/2020,Riau,3,0,1,Sumatera
3/30/2020,Sulawesi Barat,1,0,0,Sulawesi
3/30/2020,Sulawesi Selatan,51,3,5,Sulawesi
3/30/2020,Sulawesi Tengah,2,0,0,Sulawesi
3/30/2020,Sulawesi Tenggara,3,0,0,Sulawesi
3/30/2020,Sulawesi Utara,1,1,5,Sulawesi
3/30/2020,Sumatera Barat,8,0,1,Sumatera
3/30/2020,Sumatera Selatan,2,2,1,Sumatera
3/30/2020,Sumatera Utara,7,2,10,Sumatera
3/31/2020,Aceh,5,0,1,Sumatera
3/31/2020,Bali,12,2,4,Nusa Tenggara
3/31/2020,Banten,79,27,184,Jawa
3/31/2020,Bengkulu,1,1,0,Sumatera
3/31/2020,DKI Jakarta,408,106,112,Jawa
3/31/2020,Daerah Istimewa Yogyakarta,11,2,4,Jawa
3/31/2020,,1528,136,81,
3/31/2020,Jambi,2,0,4,Sumatera
3/31/2020,Jawa Barat,159,30,85,Jawa
3/31/2020,Jawa Tengah,118,24,24,Jawa
3/31/2020,Jawa Timur,117,43,368,Jawa
3/31/2020,Kalimantan Barat,8,2,3,Kalimantan
3/31/2020,Kalimantan Selatan,7,0,0,Kalimantan
3/31/2020,Kalimantan Tengah,7,2,41,Kalimantan
3/31/2020,Kalimantan Timur,16,1,3,Kalimantan
3/31/2020,Kalimantan Utara,2,0,0,Kalimantan
3/31/2020,Kepulauan Bangka Belitung,2,1,0,Sumatera
3/31/2020,Kepulauan Riau,5,3,2,Sumatera
3/31/2020,Lampung,7,2,0,Sumatera
3/31/2020,Maluku,1,1,1,Maluku
3/31/2020,Maluku Utara,1,0,0,Maluku
3/31/2020,Nusa Tenggara Barat,2,0,0,Nusa Tenggara
3/31/2020,Papua,9,1,3,Papua
3/31/2020,Papua Barat,2,1,1,Papua
